Path,Code File,,Dub,,Comments
chrome\browser\ui\ash,volume_controller_chromeos.cc,,browser view,,
chrome\browser\ui\ash\launcher,chrome_launcher_controller.cc,,browser view,,
chrome\browser\ui\ash\launcher,chrome_launcher_controller_browsertest.cc,,browser view,,
chrome\browser\ui\ash\launcher,chrome_launcher_controller_unittest.cc,,browser view,,
chrome\browser\ui\ash\multi_user,multi_user_window_manager.cc,,browser view,,
chrome\browser\ui\ash\multi_user,multi_user_window_manager_chromeos.cc,,browser view,,
chrome\browser\ui\views\apps,native_app_window_views.cc,,browser view,,
chrome\browser\ui\views\frame,browser_non_client_frame_view_ash.cc,,browser view,,
chrome\browser\ui\views\frame,immersive_mode_controller_ash_unittest.cc,,browser view,,
chrome\browser\ui\views\frame,browser_non_client_frame_view_ash_browsertest.cc,,browser view,,
chrome\browser\ui\views\frame,browser_view.cc,,browser view,,
chrome\browser\ui\views\tabs,tab_drag_controller_interactive_uitest.cc,,browser view,,
chrome\browser\ui\webui\chromeos\login,oobe_ui.cc,,browser view,,
chrome\browser\ui\webui\options,browser_options_handler.cc,,browser view,,
